contravene              取消
contraband              走私
contraceptive           避孕的
nuance               微小差距
aspersion               诽谤
calumny                 诽谤
defamation              诽谤
diatribe               讽刺，谩骂
inveigh               谩骂
obloquy               谩骂
rebuke               责难
reprove               谴责
vituperate               辱骂
belittle               轻视，贬低
castigate               严厉责骂
denounce               谴责，公然抨击
disparage               贬低，非难
harangue               高谈阔论
lambaste               严厉斥责
opprobrium               耻辱
remonstrate               抗议
revile               痛斥
berate               严责
decry               公开反对，谴责
deride               嘲笑（deride）
derisive               嘲笑的
excoriate               擦伤，指责
impugn               责难
objurgate               责难
pillory               上手枷，使...引人嘲笑（pillory）
reprehend               责备
tirade               激烈的长篇演说
fallacious               欺骗的，令人失望的
dissemble               假装
perfidy               不诚实，背信弃义（perfidy）
spurious               假的
canard               谣传
ersatz               代用的，仿制品
guile               狡猾，奸诈
prevaricate               说谎，搪塞（prevaricate）
chicanery               哄骗，欺骗
fallacious               欺骗的，令人失望的
mendacity               虚伪，谎言
specious               似是而非的，徒有其表的
mendacity               虚伪，谎言（mendacity）
levity               轻浮，欠缺考虑
panoptic               展示全景的
pandemonium               大混乱，嘈杂
eloquent               雄辩地
arsenal               军械库（arsenal）
eulogy               赞扬
abstain               放弃，自制，避免
apathy               冷漠
empirical               实验为依据的
disparage               贬低，批评，非难（disparage）
belie               掩饰，证实...为假，非难
etching               蚀刻的，刻画
auction               拍卖，竞拍
myriad               无数的，大量的
derision               嘲笑，嘲笑的对象（derision）
provocation               挑衅，激怒
commendation               嘉奖，推荐
infamous               声名狼藉的
incongruous               不协调的，不一致的
pretentious               自负的，狂妄的（pretentious）
gloomy               阴暗的，沮丧的
derision               嘲笑，嘲笑的对象
wrestle               摔跤，斗争
debunk               揭穿，暴露
exorbitant               过度的，极高的（exorbitant）
floundering               挣扎的
fathom               理解，弄清真相
impasse               绝境，僵局
apogee               最高点，远地点
epiphany               显灵，顿悟（epiphany）
regress               退化，退步
impugn               责难，斥责
acrimony               尖刻，激烈，不达一致
cacophony               刺耳的声音
sinecure               闲职，挂名（sincure）
gainsaid               否认
elusive               难以捉摸的
diminutive               微小的
ornate               华丽的
orator               演说家（orator）
miscreant               歹徒，恶棍
interloper               闯入者
duress               监禁，强迫
ebullience               兴高采烈
despair               绝望（despair）
ignoble               卑鄙的，可耻的
precarious               依靠机会的，不稳定的
facetious               爱开玩笑的
melancholy               忧郁，悲哀
vociferous               吵吵嚷嚷的（vociferous）
appease               使平息，满足
impede               阻碍
hinder               妨碍
frankness               直白
falsehoods               谎言，假话（falsehoods）
morose               闷闷不乐的，阴郁的
abashed               不安的
lucid               表达清楚的
nonplussed               不知所措的
dolorous               忧伤的（dolorous）
precipitate               沉淀，促成，粗鲁的
abstain               禁绝，回避，自制
apathy               冷漠
capricious               变幻莫测的
engender               造成，引起（engender）
equivocal               模棱两可的
gullible               容易受骗的
laudable               值得赞美的
mitigate               使缓和，使减轻
placate               安抚，使平静（placate）
prodigal               浪费的，不吝啬的
volatile               反复无常的，容易挥发的
adulterate               通奸，不纯的
assuage               缓和，平息
corroborate               证实，支持（corroborate）
enigma               谜团
erudite               博学的
homogeneous               同系的
loquacious               多嘴的，爱说话的
opaque               不透明的，难理解的（opaque）
pragmatic               务实的
propriety               正当，妥当，适宜
zeal               热心，热忱
anomaly               反常
audacious               大胆的，有勇无谋的（audacious）
desiccate               脱水
ephemeral               短暂的
fervid               热，狂热的
laconic               简洁的
lucid               表达清楚的（lucid）
pedant               书呆子，空想家，迂腐
precipitate               沉淀，促成，鲁莽的
vacillate               漫步，忧郁
disparage               贬低，批评
belie               掩饰，证实...为假（belie）
porous               有孔的，渗透的
derision               嘲笑，嘲笑的对象
commendation               嘉奖，推荐
salubrious               有益健康的
salient               突出的，显著的（salient）
opprobrious               无礼的，骂人的
endemic               风土的
differential               不同的
nuance               细微差别
propriety               正当，礼貌（propriety）
plantation               种植园，大农场
affiliation               附属，分部
ontology               本体论
luminary               发光体，知识渊博的人
militate               有影响，产生作用（militate）
absolve               赦免，免罪
renewed               复兴的，重建的
exorbitant               过度的，极高的
fathom               理解，搞懂
interpolate               插入，篡改（interpolate）
flounder               挣扎
gainsaid               否认，反对
praised               被称赞的
elusive               难以捉摸的
prolific               高产的（prolific）
diminutive               微小的
ostentatious               炫耀的
orator               演说家
miscreant               恶棍，歹徒
interloper               闯入者（interloper）
ignoble               卑鄙的
precarious               依靠机会的，不安定的
facetious               爱开玩笑的
thereby               从此，因此，在那附近
altruistic               利他的（altruistic）
baneful               有害的
benevolent               好心的，慈善的
melancholy               忧郁，悲伤的
vociferous               吵吵嚷嚷的
appease               使满足，平息（appease）
impede               妨碍
hinder               阻碍
spontaneous               自发的，率直的
impulsive               冲动的
lethargic               昏睡的，无精打采地（lethargic）
sluggish               迟钝的，懒惰的
gospel               信条，真理
pursuit               职业，追求
speculative               思考的，投机的
dubious               半信半疑的（dubious）
keenly               敏锐地，强烈的
cricket               板球
rounders               rounders，类似棒球
fraudulent               欺骗的
device               装置，策略，图案（device）
sprocket               链条齿轮
illustrate               给...加插图，说明，阐明
anti-semitism               反犹太的
assuage               减轻，平息
ignominious               耻辱的（ignominious）
conspicuous               显眼的
obscurity               不明，费解
indifference               不关心，不在乎
mystique               奥秘，神秘
apocryphal               伪造的，作者不明的（apocryphal）
inimical               敌意的，有害的
abstruse               深奥的
prolific               多产的
acclamation               欢呼，喝彩
shrewdness               机灵（shredness）
infallibility               无错误，无过失
genius               天才
incinerated               焚化，火葬
contemporaries               同时代人
recruit               招募，新人（recruit）
mellifluous               悦耳的
stumbling               摇摇晃晃的
laconic               简洁的
euphonic               悦耳的
strident               刺耳的，尖锐的（strident）
estranged               疏远的
horrified               惊骇地
shook               震动，动摇
bored               无聊的
stunned               受惊的（stunned）
exacting               费劲的，严格的
circuitous               迂回的
erratic               不稳定的，古怪的
municipal               市政的
underdogs               失败者，受压迫者
oppose               反对
renounce               宣布放弃
notes               记录，笔记，注解，调子
attrition               消耗，消磨，摩擦
passage               通路，走廊（passage）
tertiary               第三的
in concert with               同步的
postsecondary               高等教育
facilitate               使便利,减轻
democratization               民主化(democratization)
sector               部门,扇形
manifestation               显示,表现
congenial               宜人的
brusque               唐突的,无礼的
gregarious               合群的,爱交际的(gregarious)
scurrilous               粗俗的,下流的
panned               ?
tolerate               容忍,承认
apathetic               无情的
deriding               嘲笑的(deriding)
patronized               光顾,惠顾,高人一等
cultivated               耕作,培养,陶冶
snubbed               冷落
advocated               主张,拥护
imprudent               不明智的(imprudent)
ingenuous               朴实的,坦率的
bland               乏味的,冷漠的
toothsome               可口的,美味的
scanty               不足的,勉强够的
lucid               表达清楚的(lucid)
prosaic               无灵感的,无想象力的
tidy               整齐的,收拾整理
extirpate               消灭,根除
immense               巨大的
remarkable               异常的,引人注目的(remarkable)
recondite               深奥的,晦涩的
pivotal               中枢的,关键的
momentous               重大的,严重的
detritus               碎石
refuge               庇护(refuge)
gaudiness               俗丽
bedlam               混乱,疯人院
refuse               拒绝,废物
barrenness               不孕不育
waggish               爱开玩笑的
vicious               邪恶的,残酷的
witty               诙谐的,机智的
scathing               严厉的,尖刻的
