hypotenuse     斜边，弦
isosceles     等腰的
equilateral     等边的
altitude     高度，海拔
height     高
Pythagorean-theorem     勾股定理
parallelogram     平行四边形
quadrilateral     四边形
perimeter     周长
diameter     直径
central-angle     圆心角
chord     弦
circumference     周围，圆周
inscribed     内接
circumscribed     外接
aerobic     有氧的
obtuse-angle     不锋利的，钝角
acute-angle     锐角
epiphany     显现
excoriate     擦伤，痛斥
pillory     上枷锁，示众，嘲笑
duress     监禁，强迫
lucid     表达清楚的
nonplussed     不知所措的
mellifluous     声音甜美的
strident     刺耳的
lethargic     没精打采的
pandemonium     混乱，喧嚣
spurious     伪造的，假的
mendacity     谎言
chicanery     哄骗，欺骗
diatribe     谩骂，讽刺
lambaste     鞭打，斥责
ebullience     兴高采烈
perfunctory     敷衍的，例行公事的
overt     明显的，公然的，蓄意的
humanitarian     人道主义的
seldom     很少，不常
resign     辞职，托付
impotency     无力
demoralize     使士气低落
galvanize     镀锌，激发
exasperate     激怒
cosmopolitan     世界性的
insular     孤立的，岛民的
mercenary     雇佣的，唯利是图的
intransigent     不妥协的
zenith     顶点，最高峰
jarring     刺耳的，震惊的
plausible     似乎是真的，花言巧语的
implausible     难以置信的
gratifying     悦人的，满足的
conciliatory     安慰的，调停的
impediment     妨碍（impede）
incentive     激励，诱因
protoscientific     前科学
utilitarian     功利的，有效的
perfunctory     例行公事的
egregious     极坏的
inductive     诱导的
archaeological     考古学的
imprudence     鲁莽
archaeology     考古学
ubiquity     到处存在
promise     允诺，前途
attorney     代理人，律师
pursue     从事，追赶
misfeasance     不法行为
diffident     缺乏自信的
meticulous     一丝不苟的
implacable     难以平息的
tenacious     粘住的，紧握的，记性好的
barring     不包括，除非（bar v. 阻拦）
eminent     杰出的，有名的
ridiculed     嘲笑，愚弄
scrutinized     仔细的，详查的
embellished     美化的
underrated     低估的
spontaneity     自发性，自动
derision     嘲笑，嘲笑的对象
sacrosanct     神圣的，不可侵犯的
malleable     可锻造的，韧性的
egalitarian     主张平等的
autonomous     自治的
tantamount     等于，相似
circuitry     电线，线路
vindication     澄清，证实
proscription     禁止，放逐
ministration     帮助，服侍
valediction     告别
exculpation     使无罪，辩解
prime     基本的，最好的，青年，精华
minister     大臣，部长，牧师，服侍
defining     定义的
grandly     宏伟的，盛大的
irascibility     暴怒（irascible）
abstemiousness     适中，节制，节俭
contentiousness     引起争论
insouciance     不注意，不在乎
surreptitiousness     偷偷摸摸
affection     喜爱
ambivalent     矛盾的
ballyhooed     喧嚣，大吹大擂
quips     嘲弄，讽刺
pensiveness     沉思的，忧郁的
drollness     离奇古怪，滑稽的
stoicism     坚韧，寡欲
fastidiousness     过分挑剔的
congeniality     适宜，同性质
paleontologist     古生物学者
afresh     重新
disproved     反驳，证明…是假
conflated     合并
divulged     暴露，泄露
hominid     原始人
extraneous     外部的，外来的
conjectural     推测的
improbable     不可信的
demonstrable     可论证的
tractable     易处理的，驯服的
impassive     无动于衷的
solitary     独居的
enterprise     事业，计划，公司
motley     混杂的，五颜六色的
assortment     分类，混合
opportunistic     机会主义
anomalous     不规则的，反常的
haphazard     偶然的，随意的
monolithic     独块巨石的，整体的，庞大的
concurred     一致，同意，互助
contentious     引起争论的
methodical     有条理的
mundane     世俗的，平凡的
prescient     有预知能力的
banal     陈腐的，平庸的
amateurs     业余爱好者
incisive     敏锐的，深刻的
priori     优先的
vitiate     损害，弄坏
unencumbered     没有阻碍的
columnist     专栏作家
idealistic-sounding     ？
derivative     派生物，衍生物
disingenuous     不真诚的，不坦率的
ineffectual     效果不佳的
perennial     经常出现的
lament     悲叹，挽歌
budgets     预算，经费
poignant     伤心的，辛酸的，深刻的
condescending     高傲的
disingenuous     不真诚的，不坦率的
anew     再，重新
adornment     装饰品
truism     老生常谈
provocation     刺激，挑衅
valediction     告别
misrepresented     误传，误报
cherished     珍爱
dissension     不和，纠纷
innocuous     无害的
comity     礼让
conformity     依照，遵从
mordancy     尖酸，刻薄
felicitous     恰当的，贴切的
ornamental     装饰的
intricacy     从综复杂
metaphorical     隐喻的
sectarian     宗派的
impenetrable     不能穿过的
immutable     不可改变的
proprietary     私有的，专利的
didactic     说教的
self-perpetuating     自身永久存在的
lingering     逗留的，徘徊的
demographic     人口统计学的
boisterousness     热闹的，喧嚣的，粗鲁的
unpretentiousness     不招摇
idiosyncrasy     特有的气质，习性
exaggerate     扩大，夸张
exalt     赞扬
transcendent     卓越的
decline     下降，减少，拒绝
superfluous     过多的，过剩的
unidimensional     一维的
imperturbable     不激动的，冷静的
disposition     气质，性格，安排
duplicitous     两面派
cunning     狡猾的
blithe     愉快的，无忧的
sentiments     柔情，意见，观点
vapid     无趣的
jejune     浅薄，枯燥的
didactic     说教的
dogmatic     教条的，武断的
tendentious     不公平的，倔强的，淘气的
exalted     尊贵的，兴奋的
coddled     溺爱（mollycoddle）
excoriated     擦伤，痛斥
mollified     抚慰
deluded     哄骗
ample     丰富的，宽敞的
paucity     少量，缺乏
stemming     填塞物
