abate     减少，减轻
abscond     潜逃
abstain     逃避，自制，禁绝
abyss     深渊
adulterate     掺假的，通奸的
advocate     拥护，主张
aesthetic     美学的
aggrandize     扩大
alleviate     减轻，缓和
amalgamate     合并，混合
ambiguous     模棱两可的
ameliorate     改进
anachronism     不合时代
analogous     相似的
anomaly     异常
antagonize     激怒，使敌对
antipathy     厌恶
apathy     冷漠
arbitrate     判决，仲裁
archaic     古老的
ardor     热情，狂热
articulate     清楚表达的
assuage     减轻，平息
attenuate     削弱
audacious     大胆的
austere     朴素的，严格的
banal     陈腐，平庸的
bolster     支持
bombastic     夸夸其谈的
cacophony     刺耳的
candid     真诚的，直率的
capricious     变幻莫测的
castigate     严责
catalyst     催化剂
caustic     腐蚀的，刻薄的
wit     智力
chaos     混沌
chauvinist     沙文主义者
submarine     潜艇
appreciation     欣赏，鉴赏
hippie     嬉皮士
construct     修建，构成
timepiece     时钟，座钟
divinely     神圣的，庄严的
albino     白化病
erupt     喷发
dispute     争论
passionate     热情的
landscape     风景
pounding     重击
stern     末端，严厉的
cliched     陈词滥调
prop-up     支撑
sasquatch     大足野人
pompous     浮夸的，爱炫耀的
boast     自吹自擂
outrageous     骇人的，残暴的
jar     罐子，发出刺耳声音
jarring     刺耳的，不和谐的
courtier     侍臣
imposition     强加，被迫接受
insults     侮辱，冒犯
biting     尖锐的，辛辣的
cutting     严寒的，锋利的
chauvinist     沙文主义的
prejudice     成见，偏见
chicanery     哄骗，欺骗
craft     工艺
cogent     令人信服的
condone     宽恕，赦免
beat-up     虐待
sway     摇摆，影响
jury     陪审团
acquit     宣判无罪
condone     赦免
prosecute     检举，公诉
overlook     忽视，俯视，原谅
pardon     原谅，宽恕
disregard     不顾，无视
convoluted     盘绕的，复杂的
intricate     错综复杂的
corroborate     证实，支持
credulous     亲信
crescendo     渐强
decorum     礼貌，礼仪
conduct     带领，导电
countess     女伯爵
deference     顺从
deride     嘲笑
contempt     轻视，蔑视
desiccate     脱水
carcass     尸体，骨骼
desultory     散乱的
diatribe     谩骂，讽刺
bellow     怒吼
condemnatory     非难的
diffident     缺乏自信的
dilate     膨胀，扩大
pupils     学生，瞳孔
dilatory     缓慢的，拖拉的
congressman     国会议员
dilettante     业余爱好者
amateurish     外行的
dirge     挽歌
disabuse     矫正，使醒悟
funeral     葬礼
hymn     赞美诗
mournful     哀痛的
revolve     旋转，细想
discern     识别，看清
disparate     完全不同的
dissemble     假装，掩饰
deed     行动，证书
tear-up     撕毁
dissonance     不一致，不和谐
dogma     教条
dogmatic     教条的
dictatorial     独裁的，霸道的
dictator     独裁者
dupe     上当的，欺骗
eclectic     折衷的
efficacy     效力
penicillin     盘尼西林
unsurpassed     非常卓越的
elegy     挽歌
eloquent     有说服力的
urge     力劝
lofty     崇高的
sentiment     柔情，观点
emulate     竞争，努力赶上
excel     胜过，擅长
guerrilla     游击队员
enervate     使衰弱
engender     引起，产生
hatred     怨恨
clown     小丑
riddle     解密
enumerate     列举
itemize     逐条列举
commandments     戒条，戒律
ephemeral     短暂的
mayfly     蜉蝣
equivocate     模棱两可的
erratic     古怪的
