penury     缺乏
munificent     慷慨的，丰富的
laconic     间接的
insipid     枯燥的，乏味的
pragmatic     务实的
iconoclast     攻击传统观念的
arduous     费力的
profligate     挥霍的
prosaic     无灵感的
ameliorate     改善，改进
obsequious     奉承的
obedient     顺从的
perturbed     烦躁不安的
capricious     变幻莫测的
fortuitous     偶然的
orthodox     正统的
alacrity     敏捷，乐意
pellucid     清晰的
translucent     半透明的，清澈的，易懂得
swarm     挤满，一大群
loaves     面包
corroborate     证实，支持
allegation     陈述
misconduct     不当行为，管理不善
magnanimous     宽宏大量的
scrupulous     严格认真的
diligent     勤奋的
hygiene     卫生学
prolific     多产的
furious     狂怒的
dogmatic     教条的
dictatorial     独裁的
placate     安抚
mercurial     反复无常的
exacerbate     使恶化
infuriate     激怒，使大怒
redundant     不需要的
hackneyed     陈腐的
prudent     谨慎，节俭
trite     陈腐的
hive     蜂巢
superfluous     过多的
belie     掩饰，证明…为假
esoteric     鲜为人知的
cacophony     刺耳的声音
impetuous     冲动的，鲁莽的
dissent     意见的分歧
discordant     不和的，不一致的
buyout     全部买下
idiosyncrasy     气质，习性
peculiar     奇怪的，独特的
extant     现存的
obscure     模糊的，晦涩的
surpassing     无比的
didactic     教育的，说教的
dharma     达摩
enchanting     使人喜悦的
pithy     简练的
copious     丰富的
abundant     大量的
expenditure     花费，支出
vulgar     粗俗的，本土的
acrobat     杂技演员
adulterate     掺假，通奸的
debase     贬低
desecration     侮辱，玷污
clamorous     喧嚷的
taciturn     沉默的
reserved     保留，预定，贮藏，沉默
obdurate     顽固的
yell     叫喊
garrulous     多嘴的
misanthrope     厌恶人类的
lionize     游览名胜，奉为名人
lieutenant     陆军中尉
imminent     即将来领的
outrageous     骇人的，残暴的，无耻的
frivolous     不重要的
trivial     不重要的
benign     良性的，亲切的
dissonance     不一致，不和谐
inculpate     使负罪
docile     驯养的，驯服的
sporadic     分散的，不定时发生的
compliant     遵从的
submissive     顺从的
prevaricate     搪塞，说谎
belligerent     交战的
dispassionate     公正的，平静的
providential     凑巧的，幸运的
menace     威胁，恐吓
monarch     君主
plight     困境，誓约，约定
opportune     恰好的
pale     苍白的，前哨，栅栏
tremble     战栗，颤抖
hesitancy     迟疑，踌蹰
attain     达到，实现
prominence     声望，杰出
fractious     易怒的，焦躁的
quarrelsome     好争吵的
malign     诽谤，中伤的
disparate     根本不同的
subtle     微妙的，狡猾的，敏感的
sanguine     乐观的
revival     复兴
deflationary     通货紧缩的，放出空气的
recession     经济衰退，后退
venerate     崇敬
nod     点头，摆动，打盹
pope     教皇，大师
trite     陈腐的
commonplace     普通的，平庸的
athletes     运动员
firmness     坚固
awe     敬畏
succinct     简洁的，简明的
ingenious     灵巧的，善于发明创造的
meticulous     一丝不苟的
relieved     减轻，放松
council     理事会
anachronism     时代错误
wield     挥舞，使用
conspicuous     显眼的
corporate     社团的，法人的
innocuous     无害的
audacious     大胆的
tumultuous     无秩序的，狂暴的
reticent     沉默的
fervid     热的，热心的
enervate     使衰弱
stratagem     诡计，计谋
auspicious     有前途的，吉利的
skipper     船长，机长
soporific     催眠的，催眠药
aired     透气的，烘干的
Give-rise-to     引起
glaucoma     青光眼
preventive     预防的，预防剂
loquacious     多嘴的
superfluous     多余的，过多的
fastidious     过分挑剔的
recalcitrant     反抗的，顽强的
ephemeral     短暂的
pusillanimous     怯懦的，胆怯的
cruel     残酷的，痛苦的
tactician     策士
euphoric     愉快的
profound     深奥的
slake     消除，平息，熄灭
inchoate     早期的，刚开始的
assemblage     一堆东西，一群人
patriot     爱国者
